	time	neighborhood	title	url	price	imgs
0	2022-04-28 11:08	oakland	Dining Table and chairs	https://sfbay.craigslist.org/eby/fuo/d/oakland-dining-table-and-chairs/7477044057.html	200	https://images.craigslist.org/00B0B_8cP6BovmFSnz_0t20CI_300x300.jpg,https://images.craigslist.org/00F0F_k58HunI8Y0Ez_0t20CI_300x300.jpg
1	2022-04-28 11:06	richmond	Ikea Queen bed slats Lonset Lexeby	https://sfbay.craigslist.org/eby/fuo/d/richmond-ikea-queen-bed-slats-lonset/7473818882.html	35	https://images.craigslist.org/00a0a_4gy1v88fIKOz_0t20CI_300x300.jpg,https://images.craigslist.org/00J0J_fAkGO9NHvkhz_0t20CI_300x300.jpg,https://images.craigslist.org/00B0B_kJ65u2bOJNDz_0t20CI_300x300.jpg,https://images.craigslist.org/00a0a_hRt3SqIpbE5z_0t20CI_300x300.jpg,https://images.craigslist.org/00V0V_adKv93WkjKvz_0t20CI_300x300.jpg
2	2022-04-28 11:06	hayward,castro valley	West Elm Haven 2 Piece Terminal Chaise Sectional Sofa (Velvet, Grey)	https://sfbay.craigslist.org/eby/fuo/d/hayward-west-elm-haven-piece-terminal/7475308640.html	3000	https://images.craigslist.org/00M0M_11OEguoOK9zz_0uY0ne_300x300.jpg,https://images.craigslist.org/00Y0Y_bLwj8Q4espQz_0uY0ne_300x300.jpg,https://images.craigslist.org/00T0T_7XrQ1VvKbfuz_0uY0ne_300x300.jpg,https://images.craigslist.org/00i0i_1rrCEPb2OUbz_0uY0ne_300x300.jpg,https://images.craigslist.org/00S0S_3qSh0H6XK0Gz_0uY0ne_300x300.jpg,https://images.craigslist.org/00E0E_47nQsIheDMNz_0uY0ne_300x300.jpg
3	2022-04-28 11:06	hayward,castro valley	New in box West Elm Crescent Swivel Chair Twill Teal	https://sfbay.craigslist.org/eby/fuo/d/hayward-new-in-box-west-elm-crescent/7475304946.html	650	https://images.craigslist.org/00K0K_6OEvbMKZmLoz_0g80g8_300x300.jpg,https://images.craigslist.org/00303_cPgAXrfaikEz_0CI0t2_300x300.jpg,https://images.craigslist.org/00Z0Z_dCzPNK7H3xXz_0CI0t2_300x300.jpg
4	2022-04-28 11:06	hayward,castro valley	West Elm Andes 3 Piece Sofa Sectional Mineral Grey	https://sfbay.craigslist.org/eby/fuo/d/hayward-west-elm-andes-piece-sofa/7475304864.html	3300	https://images.craigslist.org/00909_75XX7iWDiZ6z_0CI0t2_300x300.jpg,https://images.craigslist.org/00v0v_vsX8ZkSxwSz_0CI0t2_300x300.jpg,https://images.craigslist.org/00R0R_5q06VEhu78jz_0CI0t2_300x300.jpg,https://images.craigslist.org/00X0X_g9vafKJl1Hjz_0CI0t2_300x300.jpg,https://images.craigslist.org/00H0H_kDBCSPXV1JJz_0CI0t2_300x300.jpg,https://images.craigslist.org/00i0i_1qzyHsOtw7qz_0CI0t2_300x300.jpg,https://images.craigslist.org/00a0a_8fj0NZ2Sex1z_0CI0t2_300x300.jpg,https://images.craigslist.org/00101_iJ5AzXYs8cVz_0CI0t2_300x300.jpg
5	2022-04-28 11:06	hayward,castro valley	(Set of 4) West Elm Windsor Dining Chair White	https://sfbay.craigslist.org/eby/fuo/d/hayward-set-of-west-elm-windsor-dining/7475304730.html	400	https://images.craigslist.org/00G0G_2wlneNmrQbJz_0uY0ne_300x300.jpg,https://images.craigslist.org/00C0C_a3aMvk3LGCLz_0uY0ne_300x300.jpg,https://images.craigslist.org/00U0U_64yKlxBwK3Rz_0uY0ne_300x300.jpg,https://images.craigslist.org/01212_jY7uJE5UfzLz_0uY0ne_300x300.jpg
6	2022-04-28 11:06	hayward,castro valley	West Elm Austin Leather Armchair + Ottoman	https://sfbay.craigslist.org/eby/fuo/d/hayward-west-elm-austin-leather/7475304789.html	2000	https://images.craigslist.org/00P0P_39oRO48eaJaz_0kS0t2_300x300.jpg,https://images.craigslist.org/00U0U_3RH7wlZQrJIz_0uY0ne_300x300.jpg
7	2022-04-28 11:06	hayward,castro valley	West Elm Mid Century Show Wood High Back Leather Chair	https://sfbay.craigslist.org/eby/fuo/d/hayward-west-elm-mid-century-show-wood/7471823007.html	1200	https://images.craigslist.org/00k0k_b9CqKKXo4yhz_0CI0t2_300x300.jpg,https://images.craigslist.org/00E0E_8DSPBa9xJaVz_0CI0t2_300x300.jpg,https://images.craigslist.org/00m0m_2UPbGL69PIuz_0CI0t2_300x300.jpg,https://images.craigslist.org/00b0b_Wf13wZplJLz_0CI0t2_300x300.jpg
8	2022-04-28 11:06	hayward,castro valley	West Elm Anton Metal Plinth Dining Table	https://sfbay.craigslist.org/eby/fuo/d/hayward-west-elm-anton-metal-plinth/7472669887.html	1400	https://images.craigslist.org/00b0b_bmwiAmJBprfz_0ck0a8_300x300.jpg,https://images.craigslist.org/00U0U_3ezSHdsz7b7z_0uY0ne_300x300.jpg,https://images.craigslist.org/01313_eDtA88jUGqsz_0uY0ne_300x300.jpg,https://images.craigslist.org/00a0a_grUx0rFHFkqz_0uY0ne_300x300.jpg
9	2022-04-28 11:06	hayward,castro valley	West Elm Paidge Queen sleeper sofa (Retails for $2399)	https://sfbay.craigslist.org/eby/fuo/d/hayward-west-elm-paidge-queen-sleeper/7472687187.html	1000	https://images.craigslist.org/00j0j_6hMTlH1rEVpz_0g80g8_300x300.jpg,https://images.craigslist.org/00F0F_7mvaQUmnolbz_07C07m_300x300.jpg,https://images.craigslist.org/00s0s_c8enj78iPLbz_0uY0ne_300x300.jpg,https://images.craigslist.org/01717_1COMeNwVWHFz_0uY0ne_300x300.jpg,https://images.craigslist.org/00F0F_iOUhiGENiUDz_0uY0ne_300x300.jpg,https://images.craigslist.org/00Z0Z_8mPAn7AV3iDz_0uY0ne_300x300.jpg,https://images.craigslist.org/00t0t_c0Df4rjFQCJz_0uY0ne_300x300.jpg,https://images.craigslist.org/00s0s_5Yc6E1BBzwFz_0uY0ne_300x300.jpg,https://images.craigslist.org/00F0F_keOoCc5ZNO8z_0uY0ne_300x300.jpg,https://images.craigslist.org/00J0J_2JUAWB2OtPdz_0uY0ne_300x300.jpg
10	2022-04-28 11:06	hayward,castro valley	(Set of 2) West Elm Col Court chair	https://sfbay.craigslist.org/eby/fuo/d/hayward-set-of-west-elm-col-court-chair/7472669750.html	900	https://images.craigslist.org/00505_ggjHKu3d7rDz_0uY0pu_300x300.jpg,https://images.craigslist.org/00Z0Z_bHGtXYwdyUPz_0uY0ne_300x300.jpg,https://images.craigslist.org/00h0h_hknMBLvD3BKz_0uY0ne_300x300.jpg,https://images.craigslist.org/00R0R_fwN6wGF1nKFz_0uY0ne_300x300.jpg,https://images.craigslist.org/00N0N_cHj6zQ6NoaFz_0uY0ne_300x300.jpg,https://images.craigslist.org/00c0c_8vZZAhet7sSz_0uY0ne_300x300.jpg
11	2022-04-28 11:06	hayward,castro valley	West Elm Andes Futon Gray ( Retails $2099)	https://sfbay.craigslist.org/eby/fuo/d/hayward-west-elm-andes-futon-gray/7472687274.html	1650	https://images.craigslist.org/00U0U_lFaAtL9iDpNz_08r08r_300x300.jpg,https://images.craigslist.org/00r0r_lriuftnfZ6vz_0uY0ne_300x300.jpg,https://images.craigslist.org/00v0v_6EJzCjNGqqKz_0uY0ne_300x300.jpg,https://images.craigslist.org/00c0c_3VThB9WYnazz_0uY0ne_300x300.jpg
12	2022-04-28 11:06	hayward,castro valley	West Elm Mahogany Woven Rope Bench - Russet/Beige	https://sfbay.craigslist.org/eby/fuo/d/hayward-west-elm-mahogany-woven-rope/7472672287.html	550	https://images.craigslist.org/00g0g_b3EbYpJTAmjz_0uY0ne_300x300.jpg,https://images.craigslist.org/01616_fzvkQAWeYs4z_0uY0ne_300x300.jpg,https://images.craigslist.org/00Y0Y_g77Ffo4hMj2z_0uY0ne_300x300.jpg,https://images.craigslist.org/00f0f_2MKdkNY9N0Zz_0uY0ne_300x300.jpg,https://images.craigslist.org/01616_zXA3XL6mwTz_0uY0ne_300x300.jpg
